Tour Code; Tour Description; Year; Tourn.#; Player #; Course #; Permanent Tournament #; Player First Name; Player Last Name; Round; Tournament Name;Course Name; Hole; Hole Score; Par Value; Yardage;  Shot; Shot Type(S/P/D);# of Strokes; From Location(Scorer); From Location(Laser); To Location(Scorer); To Location(Laser); Distance; Distance to Pin; In the Hole Flag; Around the Green Flag;1st Putt Flag; Distance to Hole after the Shot; Time; Lie; Elevation; Slope; X Coordinate; Y Coordinate;  Z Coordinate; Distance from Center; Distance from Edge
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;02; 3;03;214;03;S;1;Green;Unknown;;;00019;00019;Y;N;;00000000000;1404;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;03; 3;04;387;01;S;1;Tee Box;;Intermediate Rough;Left Intermediate;08974;13464;N;N;;00000004635;1407;Good;With;Level;  8,543.9000; 10,014.4000;    506.2880;00544;00091
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;03; 3;04;387;02;S;1;Intermediate Rough;Left Intermediate;Green;Unknown;04663;04635;N;N;;00000000053;1411;N/A;With;Level;  8,160.4020; 10,075.1840;    521.6760;00052;00111
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;03; 3;04;387;03;S;1;Green;Unknown;;;00053;00053;Y;N;Y;00000000000;1416;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;04; 3;04;440;01;S;1;Tee Box;;Fairway;Left Fairway;10787;15768;N;N;;00000005012;1418;Good;With;Level;  8,135.5600;  9,257.3190;    512.6750;00103;00208
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;04; 3;04;440;02;S;1;Fairway;Left Fairway;Green;Unknown;05107;05012;N;N;;00000000143;1424;Good;With;Level;  8,122.6160;  8,832.2050;    528.6150;00112;00289
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;04; 3;04;440;03;S;1;Green;Unknown;;;00143;00143;Y;N;Y;00000000000;1428;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;05; 4;04;520;01;S;1;Tee Box;;Fairway;Left Fairway;11076;18576;N;N;;00000007519;1430;Good;With;Level;  9,100.4950;  8,628.1010;    494.7620;00122;00330
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;05; 4;04;520;02;S;1;Fairway;Left Fairway;Green Side Bunker;Left Green Side Bunker;07402;07519;N;Y;;00000000492;1436;Good;With;Level;  9,712.6750;  8,554.4700;    478.3590;00478;00307
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;05; 4;04;520;03;S;1;Green Side Bunker;Left Green Side Bunker;Green;Unknown;00494;00492;N;N;;00000000035;1441;Good;With;Level;  9,719.7460;  8,514.2160;    483.5930;00011;00167
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;05; 4;04;520;04;S;1;Green;Unknown;;;00035;00035;Y;N;Y;00000000000;1443;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;06; 3;03;209;01;S;1;Tee Box;;Green;Unknown;07472;07740;N;N;;00000000402;1446;Good;With;Level;  9,828.9670;  8,800.7040;    475.9900;00285;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;06; 3;03;209;02;S;1;Green;Unknown;Green;Unknown;00431;00402;N;N;Y;00000000033;1453;Good;With;Level;  9,836.0070;  8,835.8860;    476.1830;00035;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;06; 3;03;209;03;S;1;Green;Unknown;;;00033;00033;Y;N;;00000000000;1455;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;07; 5;04;434;01;S;1;Tee Box;;Primary Rough;Left Rough;10325;15804;N;N;;00000005302;1456;Good;With;Level;  8,889.6750;  8,941.1740;    499.1450;00482;00154
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;07; 5;04;434;02;S;1;Primary Rough;Left Rough;Primary Rough;Left Rough;05927;05302;N;Y;;00000000620;1502;N/A;With;Level;  8,410.3110;  8,825.0600;    524.9460;00051;00172
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;07; 5;04;434;03;S;1;Primary Rough;Left Rough;Green;Unknown;00545;00620;N;N;;00000000088;1506;N/A;With;Level;  8,455.0220;  8,832.6970;    523.4730;00037;00248
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;07; 5;04;434;04;S;1;Green;Unknown;Green;Unknown;00115;00088;N;N;Y;00000000022;1510;Good;With;Level;  8,461.8800;  8,839.4310;    523.4320;00013;00168
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;07; 5;04;434;05;S;1;Green;Unknown;;;00022;00022;Y;N;;00000000000;1510;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;08; 4;04;405;01;S;1;Tee Box;;Fairway;Left Fairway;09990;14544;N;N;;00000004599;1513;Good;With;Level;  8,416.5410;  9,383.1340;    525.6740;00121;00428
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;08; 4;04;405;02;S;1;Fairway;Left Fairway;Green;Unknown;04828;04599;N;N;;00000000241;1517;Good;With;Level;  8,269.0300;  9,757.4280;    522.1650;00087;00135
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;08; 4;04;405;03;S;1;Green;Unknown;Green;Unknown;00270;00241;N;N;Y;00000000025;1521;Good;With;Level;  8,284.8390;  9,741.4100;    521.5760;00017;00099
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;08; 4;04;405;04;S;1;Green;Unknown;;;00025;00025;Y;N;;00000000000;1523;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;09; 6;05;600;01;S;1;Tee Box;;Intermediate Rough;Left Intermediate;10896;21168;N;N;;00000010135;1526;Good;With;Level;  8,952.7070;  9,626.0640;    494.4990;00405;00024
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;09; 6;05;600;02;S;1;Intermediate Rough;Left Intermediate;Fairway;Right Fairway;07438;10135;N;N;;00000002713;1533;N/A;With;Level;  9,571.6090;  9,596.2050;    479.4020;00052;00546
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;09; 6;05;600;03;S;1;Fairway;Right Fairway;Primary Rough;Left Rough;03159;02713;N;Y;;00000000526;1536;Good;With;Level;  9,831.0420;  9,641.0940;    479.6970;00317;00263
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;09; 6;05;600;04;S;1;Primary Rough;Left Rough;Green;Unknown;00666;00526;N;N;;00000000163;1538;N/A;With;Level;  9,794.7020;  9,599.2140;    481.1850;00161;00268
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;09; 6;05;600;05;S;1;Green;Unknown;Green;Unknown;00159;00163;N;N;Y;00000000008;1541;Good;With;Level;  9,796.6090;  9,612.2930;    481.4540;00005;00129
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;09; 6;05;600;06;S;1;Green;Unknown;;;00008;00008;Y;N;;00000000000;1541;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;10; 4;04;469;01;S;1;Tee Box;;Fairway;Left Fairway;09865;16524;N;N;;00000006745;1545;Good;With;Level; 11,065.3390; 10,020.2070;    504.4260;00311;00025
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;10; 4;04;469;02;S;1;Fairway;Left Fairway;Green;Unknown;06383;06745;N;N;;00000000378;1550;Good;With;Level; 11,578.1080;  9,880.8020;    528.4500;00123;00040
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;10; 4;04;469;03;S;1;Green;Unknown;Green;Unknown;00364;00378;N;N;Y;00000000034;1554;Good;With;Level; 11,605.0170;  9,866.8450;    529.3260;00036;00181
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;10; 4;04;469;04;S;1;Green;Unknown;;;00034;00034;Y;N;;00000000000;1554;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;11; 2;03;197;01;S;1;Tee Box;;Green Side Bunker;Right Front Green Side Bunker;05996;06444;N;Y;;00000000622;1559;Good;With;Level; 12,120.5630;  9,853.5330;    539.5870;00396;00238
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;11; 2;03;197;02;S;1;Green Side Bunker;Right Front Green Side Bunker;;;00622;00622;Y;N;;00000000000;1602;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;12; 4;04;391;01;S;1;Tee Box;;Fairway;Right Fairway;09242;14436;N;N;;00000005150;1606;Good;With;Level; 11,508.6990;  9,692.8580;    522.6000;00832;00223
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;12; 4;04;391;02;S;1;Fairway;Right Fairway;Green;Unknown;05143;05150;N;N;;00000000180;1609;Good;With;Level; 11,080.5000;  9,678.5010;    510.1140;00177;01284
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;12; 4;04;391;03;S;1;Green;Unknown;Green;Unknown;00192;00180;N;N;Y;00000000014;1613;Good;With;Level; 11,080.5570;  9,694.5240;    510.4440;00012;01302
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;12; 4;04;391;04;S;1;Green;Unknown;;;00014;00014;Y;N;;00000000000;1613;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;13; 5;04;476;01;S;1;Tee Box;;Primary Rough;Right Rough;09717;16848;N;N;;00000007393;1617;Good;With;Level; 11,612.7130;  9,362.9100;    519.6460;00717;00485
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;13; 5;04;476;02;S;1;Primary Rough;Right Rough;Green Side Bunker;Front Left Green Side Bunker;07021;07393;N;Y;;00000000644;1622;N/A;With;Level; 12,171.9520;  9,532.8300;    545.3300;00472;00344
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;13; 5;04;476;03;S;1;Green Side Bunker;Front Left Green Side Bunker;Green;Unknown;00741;00644;N;N;;00000000094;1626;Good;With;Level; 12,220.1710;  9,494.7380;    551.5030;00056;00326
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;13; 5;04;476;04;S;1;Green;Unknown;Green;Unknown;00116;00094;N;N;Y;00000000020;1628;Good;With;Level; 12,211.2330;  9,498.3830;    551.3600;00001;00210
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;13; 5;04;476;05;S;1;Green;Unknown;;;00020;00020;Y;N;;00000000000;1629;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;14; 4;04;442;01;S;1;Tee Box;;Primary Rough;Right Rough;11791;16272;N;N;;00000004640;1632;Good;With;Level; 11,287.3320;  9,349.5560;    506.8300;00715;00262
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;14; 4;04;442;02;S;1;Primary Rough;Right Rough;Primary Rough;Left Rough;04850;04640;N;Y;;00000000452;1637;N/A;With;Level; 10,903.3210;  9,223.5060;    503.5840;00437;00259
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;14; 4;04;442;03;S;1;Primary Rough;Left Rough;Green;Unknown;00481;00452;N;N;;00000000023;1642;N/A;With;Level; 10,911.3860;  9,262.7150;    505.0120;00024;00182
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;14; 4;04;442;04;S;1;Green;Unknown;;;00023;00023;Y;N;Y;00000000000;1644;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;15; 5;05;525;01;S;1;Tee Box;;Fairway;Right Fairway;10115;19044;N;N;;00000008801;1647;Good;With;Level; 11,547.0960;  8,968.2940;    501.2920;00222;00206
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;15; 5;05;525;02;S;1;Fairway;Right Fairway;Green Side Bunker;Front Left Green Side Bunker;08358;08801;N;Y;;00000000933;1652;Good;With;Level; 12,200.3000;  8,731.9100;    551.3900;00708;00228
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;15; 5;05;525;03;S;1;Green Side Bunker;Front Left Green Side Bunker;Green;Unknown;01059;00933;N;N;;00000000173;1656;Good;With;Level; 12,198.0770;  8,643.7060;    554.5670;00173;00260
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;15; 5;05;525;04;S;1;Green;Unknown;Green;Unknown;00180;00173;N;N;Y;00000000003;1658;Good;With;Level; 12,208.5020;  8,654.4930;    554.8070;00003;00144
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;15; 5;05;525;05;S;1;Green;Unknown;;;00003;00003;Y;N;;00000000000;1658;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;16; 4;04;481;01;S;1;Tee Box;;Fairway;Left Fairway;10065;17172;N;N;;00000007135;1701;Good;With;Level; 11,374.9710;  8,484.9920;    503.7720;00193;00192
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;16; 4;04;481;02;S;1;Fairway;Left Fairway;Green Side Bunker;Left Green Side Bunker;07113;07135;N;Y;;00000000791;1706;Good;With;Level; 10,783.0000;  8,504.0000;    480.4710;00791;00231
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;16; 4;04;481;03;S;1;Green Side Bunker;Left Green Side Bunker;Green;Unknown;00819;00791;N;N;;00000000029;1709;Good;With;Level; 10,788.3600;  8,572.0070;    482.6580;00026;00115
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;16; 4;04;481;04;S;1;Green;Unknown;;;00029;00029;Y;N;Y;00000000000;1711;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;17; 3;04;470;01;S;1;Tee Box;;Primary Rough;Left Rough;09603;16524;N;N;;00000006931;1715;Good;With;Level; 10,553.8000;  9,111.5600;    474.9420;00579;00121
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;17; 3;04;470;02;S;1;Primary Rough;Left Rough;Green;Unknown;06882;06931;N;N;;00000000095;1719;N/A;With;Level; 10,598.3520;  9,683.2860;    479.5790;00086;00125
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;17; 3;04;470;03;S;1;Green;Unknown;;;00095;00095;Y;N;Y;00000000000;1754;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;18; 3;03;235;01;S;1;Tee Box;;Fairway;Right Fairway;07563;07992;N;Y;;00000000499;1757;Good;With;Level; 10,206.2000;  9,869.1100;    489.7090;00206;00042
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;18; 3;03;235;02;S;1;Fairway;Right Fairway;Green;Unknown;00509;00499;N;N;;00000000005;1801;Good;With;Level; 10,165.4000;  9,858.0000;    492.9280;00004;00220
R;PGA TOUR;2011;410;22405;688;060;Justin;Rose;01;TOUR Championship by Coca-Cola;East Lake GC;18; 3;03;235;03;S;1;Green;Unknown;;;00005;00005;Y;N;Y;00000000000;1802;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;01; 3;04;424;01;S;1;Tee Box;;Fairway;Left Fairway;11239;15444;N;N;;00000004205;1336;Good;With;Level;  9,043.8780;  9,814.2510;    481.6680;00048;00318
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;01; 3;04;424;02;S;1;Fairway;Left Fairway;Green;Unknown;04424;04205;N;N;;00000000220;1341;Good;With;Level;  8,677.2850;  9,845.8250;    504.3420;00049;00198
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;01; 3;04;424;03;S;1;Green;Unknown;;;00220;00220;Y;N;Y;00000000000;1345;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;02; 3;03;214;01;S;1;Tee Box;;Green Side Bunker;Left Green Side Bunker;07770;07812;N;Y;;00000000695;1347;Good;With;Level;  9,207.3100; 10,064.2820;    489.3590;00644;00035
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;02; 3;03;214;02;S;1;Green Side Bunker;Left Green Side Bunker;Green;Unknown;00709;00695;N;N;;00000000012;1351;Good;With;Level;  9,222.5060; 10,007.1680;    490.7160;00010;00131
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;02; 3;03;214;03;S;1;Green;Unknown;;;00012;00012;Y;N;Y;00000000000;1352;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;03; 4;04;387;01;S;1;Tee Box;;Fairway;Left Fairway;10170;13464;N;N;;00000003378;1354;Good;With;Level;  8,440.9870; 10,034.7080;    508.6110;00335;00129
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;03; 4;04;387;02;S;1;Fairway;Left Fairway;Green;Unknown;03490;03378;N;N;;00000000125;1400;Good;With;Level;  8,153.6340; 10,077.4490;    521.8260;00076;00176
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;03; 4;04;387;03;S;1;Green;Unknown;Green;Unknown;00151;00125;N;N;Y;00000000022;1403;Good;With;Level;  8,163.0590; 10,069.0830;    521.4610;00020;00125
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;03; 4;04;387;04;S;1;Green;Unknown;;;00022;00022;Y;N;;00000000000;1403;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;04; 3;04;440;01;S;1;Tee Box;;Primary Rough;Left Rough;10206;15768;N;N;;00000005814;1406;Good;With;Level;  8,191.1390;  9,318.5950;    515.2090;00748;00476
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;04; 3;04;440;02;S;1;Primary Rough;Left Rough;Green;Unknown;05784;05814;N;N;;00000000032;1411;N/A;With;Level;  8,115.0060;  8,842.8300;    528.2340;00016;00149
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;04; 3;04;440;03;S;1;Green;Unknown;;;00032;00032;Y;N;Y;00000000000;1416;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;05; 4;04;520;01;S;1;Tee Box;;Primary Rough;Left Rough;10005;18576;N;N;;00000008792;1419;Good;With;Level;  9,008.1550;  8,700.1240;    503.0710;00785;00492
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;05; 4;04;520;02;S;1;Primary Rough;Left Rough;Fairway;Right Fairway;08533;08792;N;Y;;00000000477;1423;N/A;With;Level;  9,686.4320;  8,487.6040;    483.5080;00369;00043
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;05; 4;04;520;03;S;1;Fairway;Right Fairway;Green;Unknown;00463;00477;N;N;;00000000016;1427;Good;With;Level;  9,716.1220;  8,512.2630;    483.5490;00018;00190
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;05; 4;04;520;04;S;1;Green;Unknown;;;00016;00016;Y;N;Y;00000000000;1427;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;06; 4;03;209;01;S;1;Tee Box;;Green Side Bunker;Left Green Side Bunker;07480;07740;N;Y;;00000000795;1435;Good;With;Level;  9,800.2500;  8,776.7700;    472.7620;00734;00000
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;06; 4;03;209;02;S;1;Green Side Bunker;Left Green Side Bunker;Primary Rough;Right Rough;01179;00795;N;Y;;00000000383;1441;Good;With;Level;  9,847.9470;  8,862.6310;    472.4950;00346;00000
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;06; 4;03;209;03;S;1;Primary Rough;Right Rough;Green;Unknown;00454;00383;N;N;;00000000069;1443;N/A;With;Level;  9,832.4360;  8,828.3030;    476.0030;00053;00000
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;06; 4;03;209;04;S;1;Green;Unknown;;;00069;00069;Y;N;Y;00000000000;1445;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;07; 4;04;434;01;S;1;Tee Box;;Fairway Bunker;Unknown;10064;15804;N;N;;00000006066;1446;Good;With;Level;  8,920.2470;  9,047.1600;    497.4300;00603;00300
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;07; 4;04;434;02;S;1;Fairway Bunker;Unknown;Primary Rough;Left Rough;06870;06066;N;Y;;00000000801;1451;Good;With;Level;  8,402.5430;  8,804.6490;    527.1050;00152;00333
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;07; 4;04;434;03;S;1;Primary Rough;Left Rough;Green;Unknown;00843;00801;N;N;;00000000042;1456;N/A;With;Level;  8,462.5560;  8,840.9650;    523.4230;00027;00164
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;07; 4;04;434;04;S;1;Green;Unknown;;;00042;00042;Y;N;Y;00000000000;1458;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;08; 3;04;405;01;S;1;Tee Box;;Fairway;Left Fairway;09973;14544;N;N;;00000004561;1505;Good;With;Level;  8,408.3230;  9,383.5530;    525.4960;00210;00344
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;08; 3;04;405;02;S;1;Fairway;Left Fairway;Green;Unknown;04643;04561;N;N;;00000000078;1505;N/A;With;Level;  8,279.7830;  9,748.4900;    521.7120;00007;00155
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;08; 3;04;405;03;S;1;Green;Unknown;;;00078;00078;Y;N;Y;00000000000;1509;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;09; 5;05;600;01;S;1;Tee Box;;Primary Rough;Left Rough;10256;21168;N;N;;00000010680;1512;Good;With;Level;  8,908.6460;  9,663.1610;    496.0400;00857;00243
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;09; 5;05;600;02;S;1;Primary Rough;Left Rough;Fairway;Left Fairway;02313;10680;N;N;;00000008478;1517;N/A;With;Level;  9,090.7460;  9,601.3870;    483.1670;00135;00262
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;09; 5;05;600;03;S;1;Fairway;Left Fairway;Green Side Bunker;Right Green Side Bunker;08121;08478;N;Y;;00000000824;1519;Good;With;Level;  9,765.6760;  9,551.8150;    476.2560;00711;00280
R;PGA TOUR;2011;410;23108;688;060;Matt;Kuchar;01;TOUR Championship by Coca-Cola;East Lake GC;09; 5;05;600;04;S;1;Green Side Bunker;Right Green Side Bunker;Green;Unknown;00728;00824;N;N;;00000000123;1522;Good;With;Level;  9,798.7640;  9,602.4210;    481.3230;00125;00250
